split,model,calibrated,group_col,group,n,prevalence,brier,ece,auroc,auprc
iid,gc_artifact_logreg,False,assay,CUT&RUN,295.0,0.19322033898305085,0.40972323184962806,0.5851665581888799,0.008919357216570827,0.10779811383903867
iid,gc_artifact_logreg,False,assay,CUT&Tag,164.0,0.16463414634146342,0.32589733072259097,0.43512541222204265,0.12422276290889431,0.09880842266826126
iid,gc_artifact_logreg,False,assay,TF ChIP-seq,741.0,0.20647773279352227,0.1006300832133004,0.2892186894491735,0.9985271886532391,0.9949503893389336
iid,gc_artifact_logreg,False,lab,EpiCypher,164.0,0.16463414634146342,0.32589733072259097,0.43512541222204265,0.12422276290889431,0.09880842266826126
iid,gc_artifact_logreg,False,lab,Henikoff,295.0,0.19322033898305085,0.40972323184962806,0.5851665581888799,0.008919357216570827,0.10779811383903867
iid,gc_artifact_logreg,False,lab,"John Stamatoyannopoulos, UW",378.0,0.21428571428571427,0.10949009185567417,0.30682947971729907,0.9997921602859874,0.9990979768939867
iid,gc_artifact_logreg,False,lab,"Michael Snyder, Stanford",363.0,0.19834710743801653,0.09140395851132445,0.2792669278574781,0.998782932416953,0.9951176072938673
iid,gc_artifact_logreg,False,species,Homo sapiens,937.0,0.19316969050160085,0.21538563226384666,0.2782745842262935,0.7259200795112397,0.5277120794266804
iid,gc_artifact_logreg,False,species,Mus musculus,263.0,0.21292775665399238,0.17895844054743903,0.21433936678064405,0.7531487232574189,0.6354832066114583
iid,gc_artifact_logreg,False,tf_family,bhlh,130.0,0.16923076923076924,0.20261915703141284,0.25823599007523956,0.6689814814814814,0.36799598381406984
iid,gc_artifact_logreg,False,tf_family,bzip,151.0,0.17880794701986755,0.2220524978812281,0.30911019392884687,0.6726403823178017,0.4777554796622179
iid,gc_artifact_logreg,False,tf_family,ets,158.0,0.18354430379746836,0.19565248984350136,0.2660881909161811,0.777064955894146,0.5765157028015743
iid,gc_artifact_logreg,False,tf_family,forkhead,140.0,0.22142857142857142,0.21493747988302384,0.2367911011672425,0.6604024859425865,0.5135092482316004
iid,gc_artifact_logreg,False,tf_family,gata,156.0,0.21153846153846154,0.19502615789073013,0.25080277615152585,0.7845528455284553,0.6272967992366483
iid,gc_artifact_logreg,False,tf_family,nuclear_receptor,162.0,0.17901234567901234,0.20394531953582282,0.2639835921692695,0.7363235675395384,0.47033003481055896
iid,gc_artifact_logreg,False,tf_family,zinc_finger,303.0,0.21782178217821782,0.21301790998811201,0.2691193859509671,0.7627541235136173,0.6104041041665059
iid,gc_artifact_logreg,True,assay,CUT&RUN,295.0,0.19322033898305085,0.23917313707151386,0.38054472196341804,0.008919357216570827,0.10779811383903867
iid,gc_artifact_logreg,True,assay,CUT&Tag,164.0,0.16463414634146342,0.18022252978841,0.22434753513089478,0.12422276290889431,0.09880842266826126
iid,gc_artifact_logreg,True,assay,TF ChIP-seq,741.0,0.20647773279352227,0.08056531713554506,0.181812969445695,0.9985271886532391,0.9949503893389336
iid,gc_artifact_logreg,True,lab,EpiCypher,164.0,0.16463414634146342,0.18022252978841,0.22434753513089478,0.12422276290889431,0.09880842266826126
iid,gc_artifact_logreg,True,lab,Henikoff,295.0,0.19322033898305085,0.23917313707151386,0.38054472196341804,0.008919357216570827,0.10779811383903867
iid,gc_artifact_logreg,True,lab,"John Stamatoyannopoulos, UW",378.0,0.21428571428571427,0.07871608653515107,0.19947756066804403,0.9997921602859874,0.9990979768939867
iid,gc_artifact_logreg,True,lab,"Michael Snyder, Stanford",363.0,0.19834710743801653,0.08249096222355863,0.17407181713112083,0.998782932416953,0.9951176072938673
iid,gc_artifact_logreg,True,species,Homo sapiens,937.0,0.19316969050160085,0.13232212373459568,0.06515495006529613,0.7259200795112397,0.5277120794266804
iid,gc_artifact_logreg,True,species,Mus musculus,263.0,0.21292775665399238,0.13621916494113528,0.09253383337731347,0.7531487232574189,0.6354832066114583
