split,split_type,holdout,model,calibrated,n,prevalence,brier,ece,auroc,auprc,worst_group_auprc
iid,iid,,gc_artifact_logreg,False,1200.0,0.1975,0.207402006079334,0.26147676145951676,0.7301922175339897,0.5337788755251527,0.09880842266826126
iid,iid,,gc_artifact_logreg,True,1200.0,0.1975,0.1331762252656956,0.06501976396572622,0.7301922175339897,0.5337788755251527,0.09880842266826126
iid,iid,,kmer_logreg,False,1200.0,0.1975,0.1954427272854195,0.18067396945527972,0.756829703239262,0.5096863230326458,0.15998902558292938
iid,iid,,kmer_logreg,True,1200.0,0.1975,0.1319965120716993,0.025049754133346477,0.756829703239262,0.5096863230326458,0.15998902558292938
iid,iid,,kmer_metadata_logreg,False,1200.0,0.1975,0.18913448822981266,0.17455446848591477,0.7704869189549185,0.5104937608260997,0.15829671110554666
iid,iid,,kmer_metadata_logreg,True,1200.0,0.1975,0.13011386617819035,0.021189951374269655,0.7704869189549185,0.5104937608260997,0.15829671110554666
assay_heldout_cutrun,assay,CUT&RUN,gc_artifact_logreg,False,1381.0,0.18971759594496743,0.6035436326435438,0.7206933438848526,0.010166178908376487,0.10474058383785068,0.0911722153268151
assay_heldout_cutrun,assay,CUT&RUN,gc_artifact_logreg,True,1381.0,0.18971759594496743,0.4091581281154125,0.5524569385454112,0.010166178908376487,0.10474058383785068,0.0911722153268151
assay_heldout_cutrun,assay,CUT&RUN,kmer_logreg,False,1381.0,0.18971759594496743,0.4740404656315922,0.489958944810427,0.26912319478269175,0.12451939819596367,0.11910913352050889
assay_heldout_cutrun,assay,CUT&RUN,kmer_logreg,True,1381.0,0.18971759594496743,0.2580696858768839,0.282518567969059,0.26912319478269175,0.12451939819596367,0.11910913352050889
assay_heldout_cutrun,assay,CUT&RUN,kmer_metadata_logreg,False,1381.0,0.18971759594496743,0.47083172661049477,0.4766866541685571,0.2693346704050099,0.12516010532616956,0.12498088855882669
assay_heldout_cutrun,assay,CUT&RUN,kmer_metadata_logreg,True,1381.0,0.18971759594496743,0.2607198972591897,0.28059870667387093,0.2693346704050099,0.12516010532616956,0.12498088855882669
lab_heldout_henikoff,lab,Henikoff,gc_artifact_logreg,False,1381.0,0.18971759594496743,0.6035436326435438,0.7206933438848526,0.010166178908376487,0.10474058383785068,0.0911722153268151
lab_heldout_henikoff,lab,Henikoff,gc_artifact_logreg,True,1381.0,0.18971759594496743,0.4091581281154125,0.5524569385454112,0.010166178908376487,0.10474058383785068,0.0911722153268151
lab_heldout_henikoff,lab,Henikoff,kmer_logreg,False,1381.0,0.18971759594496743,0.4740404656315922,0.489958944810427,0.26912319478269175,0.12451939819596367,0.11910913352050889
lab_heldout_henikoff,lab,Henikoff,kmer_logreg,True,1381.0,0.18971759594496743,0.2580696858768839,0.282518567969059,0.26912319478269175,0.12451939819596367,0.11910913352050889
lab_heldout_henikoff,lab,Henikoff,kmer_metadata_logreg,False,1381.0,0.18971759594496743,0.47083172661049477,0.4766866541685571,0.2693346704050099,0.12516010532616956,0.12498088855882669
lab_heldout_henikoff,lab,Henikoff,kmer_metadata_logreg,True,1381.0,0.18971759594496743,0.2607198972591897,0.28059870667387093,0.2693346704050099,0.12516010532616956,0.12498088855882669
species_heldout_mouse,species,Mus musculus,gc_artifact_logreg,False,1323.0,0.21239606953892667,0.1804348169379823,0.2039925167396349,0.7485963210633807,0.5787241024994307,0.0911722153268151
species_heldout_mouse,species,Mus musculus,gc_artifact_logreg,True,1323.0,0.21239606953892667,0.1400138084559241,0.09251029381417841,0.7485963210633807,0.5787241024994307,0.0911722153268151
species_heldout_mouse,species,Mus musculus,kmer_logreg,False,1323.0,0.21239606953892667,0.1943163945944218,0.17686646618421648,0.7325496410543645,0.4997384743301836,0.25175194592306716
species_heldout_mouse,species,Mus musculus,kmer_logreg,True,1323.0,0.21239606953892667,0.14243446865563816,0.0481120915785262,0.7325496410543645,0.4997384743301836,0.25175194592306716
species_heldout_mouse,species,Mus musculus,kmer_metadata_logreg,False,1323.0,0.21239606953892667,0.1951851189427201,0.1762766282542918,0.7423617325018272,0.4846869075476703,0.241058879622744
species_heldout_mouse,species,Mus musculus,kmer_metadata_logreg,True,1323.0,0.21239606953892667,0.14286051894958676,0.04097157204114971,0.7423617325018272,0.4846869075476703,0.241058879622744
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,False,1500.0,0.19133333333333333,0.20693808283467485,0.270648834276352,0.751757240808776,0.5396794547706601,0.10211169037932988
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,True,1500.0,0.19133333333333333,0.12859698898109645,0.06313893080117478,0.751757240808776,0.5396794547706601,0.10211169037932988
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,False,1500.0,0.19133333333333333,0.22944221556781588,0.21187094926286576,0.688577001186335,0.34394081308570135,0.1466650961485319
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,True,1500.0,0.19133333333333333,0.14419508072327825,0.017240403352695687,0.688577001186335,0.34394081308570135,0.1466650961485319
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,False,1500.0,0.19133333333333333,0.2270323511321835,0.21264473692739422,0.6856068548908314,0.34658481319824463,0.1444420894938342
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,True,1500.0,0.19133333333333333,0.14464025689896629,0.02884447286288742,0.6856068548908314,0.34658481319824463,0.1444420894938342
