split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
iid,gc_artifact_logreg,False,1.0,1200.0,0.1975,0.20740200607933398,0.2614767614595167,0.7301922175339897,0.5337788755251527
iid,gc_artifact_logreg,False,0.8,960.0,0.22291666666666668,0.19578023362923833,0.2261074674083702,0.7556469394402546,0.575391536720804
iid,gc_artifact_logreg,False,0.6,720.0,0.24166666666666667,0.1782506110002852,0.19476650701307383,0.7813355227148331,0.6292848458321201
iid,gc_artifact_logreg,False,0.4,480.0,0.27291666666666664,0.16077372168243959,0.1582506274775105,0.8068746035565082,0.6965313769181684
iid,gc_artifact_logreg,False,0.2,240.0,0.3125,0.1285457459312505,0.105965431089726,0.8408484848484848,0.7983507145100298
iid,gc_artifact_logreg,True,1.0,1200.0,0.1975,0.1331762252656956,0.06501976396572622,0.7301922175339897,0.5337788755251527
iid,gc_artifact_logreg,True,0.8,960.0,0.11875,0.10807994840111196,0.05786038132494193,0.5429160963875409,0.1569517687619971
iid,gc_artifact_logreg,True,0.6,720.0,0.1125,0.10125886589689546,0.035612937978175434,0.5190884677060994,0.11532934421259847
iid,gc_artifact_logreg,True,0.4,480.0,0.10208333333333333,0.09277149542287912,0.022103692418447136,0.49154789526019227,0.10233507102441113
iid,gc_artifact_logreg,True,0.2,240.0,0.1,0.09202067185882011,0.03852068577222743,0.447241512345679,0.09164107173978285
iid,kmer_logreg,False,1.0,1200.0,0.1975,0.1954427272854195,0.18067396945527975,0.756829703239262,0.5096863230326458
iid,kmer_logreg,False,0.8,960.0,0.18958333333333333,0.17882113366762822,0.16075256528563542,0.7845843102912511,0.55663349855671
iid,kmer_logreg,False,0.6,720.0,0.19027777777777777,0.15402832315572096,0.14574160101066488,0.8126478947302527,0.6089048028952566
iid,kmer_logreg,False,0.4,480.0,0.17708333333333334,0.11287151343589734,0.10901736589657116,0.8385703648548026,0.6638986338632666
iid,kmer_logreg,False,0.2,240.0,0.17916666666666667,0.08721313032597576,0.08634146617204107,0.8771101404792823,0.7614023794370299
iid,kmer_logreg,True,1.0,1200.0,0.1975,0.1319965120716993,0.02504975413334648,0.756829703239262,0.5096863230326458
iid,kmer_logreg,True,0.8,960.0,0.13333333333333333,0.10924606014745303,0.010204068995762395,0.6710768479567307,0.2598475468980981
iid,kmer_logreg,True,0.6,720.0,0.09722222222222222,0.08672321316803336,0.01247365281961989,0.6165054945054945,0.15085096799671185
iid,kmer_logreg,True,0.4,480.0,0.08125,0.07380987300501497,0.004280002305747152,0.615500901215187,0.12203215676520278
iid,kmer_logreg,True,0.2,240.0,0.05416666666666667,0.05131761561649381,0.008795736295979985,0.5377838021009826,0.06225649554840876
iid,kmer_metadata_logreg,False,1.0,1200.0,0.1975,0.18913448822981266,0.17455446848591477,0.7704869189549185,0.5104937608260997
iid,kmer_metadata_logreg,False,0.8,960.0,0.19166666666666668,0.1729438527409767,0.15277146961495208,0.7996554235768712,0.5523650089384602
iid,kmer_metadata_logreg,False,0.6,720.0,0.1875,0.14598327823148974,0.1375212320787948,0.8349477682811016,0.6070357198520521
iid,kmer_metadata_logreg,False,0.4,480.0,0.15833333333333333,0.10500190481384326,0.10251155522644573,0.8633402813965607,0.6627362538364672
iid,kmer_metadata_logreg,False,0.2,240.0,0.15416666666666667,0.05825585861686538,0.05769874644713835,0.9086672879776329,0.7598081744957844
iid,kmer_metadata_logreg,True,1.0,1200.0,0.1975,0.13011386617819037,0.021189951374269652,0.7704869189549185,0.5104937608260997
iid,kmer_metadata_logreg,True,0.8,960.0,0.128125,0.10416556981293358,0.011342020794875566,0.6828976891919457,0.26248391314848846
iid,kmer_metadata_logreg,True,0.6,720.0,0.09722222222222222,0.08461971935076955,0.006262639960154208,0.6588791208791209,0.17189813896854886
