split,model,calibrated,group_col,group,n,prevalence,brier,ece,auroc,auprc
iid,gc_artifact_logreg,False,assay,CUT&RUN,612.0,0.5130718954248366,0.24576486720680255,0.10161594181750391,0.5624973282605908,0.6425297201557978
iid,gc_artifact_logreg,False,assay,TF ChIP-seq,588.0,0.48639455782312924,0.2441483786058689,0.0743771963902299,0.583753994350021,0.6268057223970918
iid,gc_artifact_logreg,False,lab,"Michael Snyder, Stanford",588.0,0.48639455782312924,0.2441483786058689,0.0743771963902299,0.583753994350021,0.6268057223970918
iid,gc_artifact_logreg,False,lab,"Skene/Henikoff, Fred Hutch",612.0,0.5130718954248366,0.24576486720680255,0.10161594181750391,0.5624973282605908,0.6425297201557978
iid,gc_artifact_logreg,False,species,Homo sapiens,1200.0,0.5,0.24497278779234505,0.07350770664391114,0.5688041666666667,0.6292243680230513
iid,gc_artifact_logreg,False,tf_family,bhlh_zip,786.0,0.48982188295165396,0.2422835437448373,0.08679831871708613,0.5973540175535188,0.6532804016672887
iid,gc_artifact_logreg,False,tf_family,zinc_finger,414.0,0.5193236714975845,0.2500784540274685,0.07537673399987757,0.5380857777258385,0.6008234632991432
iid,gc_artifact_logreg,True,assay,CUT&RUN,612.0,0.5130718954248366,0.2470479088698381,0.09324735122574536,0.5624973282605908,0.6425297201557978
iid,gc_artifact_logreg,True,assay,TF ChIP-seq,588.0,0.48639455782312924,0.24389882411814642,0.102961345092024,0.583753994350021,0.6268057223970918
iid,gc_artifact_logreg,True,lab,"Michael Snyder, Stanford",588.0,0.48639455782312924,0.24389882411814642,0.102961345092024,0.583753994350021,0.6268057223970918
iid,gc_artifact_logreg,True,lab,"Skene/Henikoff, Fred Hutch",612.0,0.5130718954248366,0.2470479088698381,0.09324735122574536,0.5624973282605908,0.6425297201557978
iid,gc_artifact_logreg,True,species,Homo sapiens,1200.0,0.5,0.24550485734150915,0.09800720822022184,0.5688041666666667,0.6292243680230513
iid,gc_artifact_logreg,True,tf_family,bhlh_zip,786.0,0.48982188295165396,0.24147551021747854,0.11282957518130173,0.5973540175535188,0.6532804016672887
iid,gc_artifact_logreg,True,tf_family,zinc_finger,414.0,0.5193236714975845,0.25315477724365437,0.08976484625199276,0.5380857777258385,0.6008234632991432
iid,kmer_logreg,False,assay,CUT&RUN,612.0,0.5130718954248366,0.2456547108772491,0.1895919033663832,0.7331466678066088,0.7607386548712147
iid,kmer_logreg,False,assay,TF ChIP-seq,588.0,0.48639455782312924,0.22500618243688328,0.15791537298797076,0.7661858009540129,0.7650285636270407
iid,kmer_logreg,False,lab,"Michael Snyder, Stanford",588.0,0.48639455782312924,0.22500618243688328,0.15791537298797076,0.7661858009540129,0.7650285636270407
iid,kmer_logreg,False,lab,"Skene/Henikoff, Fred Hutch",612.0,0.5130718954248366,0.2456547108772491,0.1895919033663832,0.7331466678066088,0.7607386548712147
iid,kmer_logreg,False,species,Homo sapiens,1200.0,0.5,0.23553693194146988,0.17098108047723024,0.7488388888888888,0.7614032641722405
iid,kmer_logreg,False,tf_family,bhlh_zip,786.0,0.48982188295165396,0.20197915526526322,0.13885811988835564,0.8066845872332157,0.8114863680583346
iid,kmer_logreg,False,tf_family,zinc_finger,414.0,0.5193236714975845,0.2992480731673114,0.2525794107924598,0.6387285263526937,0.6545316778392226
iid,kmer_logreg,True,assay,CUT&RUN,612.0,0.5130718954248366,0.2104212004673149,0.08715930939719634,0.7331466678066088,0.7607386548712147
iid,kmer_logreg,True,assay,TF ChIP-seq,588.0,0.48639455782312924,0.19647767261336832,0.04289525594812834,0.7661858009540129,0.7650285636270407
iid,kmer_logreg,True,lab,"Michael Snyder, Stanford",588.0,0.48639455782312924,0.19647767261336832,0.04289525594812834,0.7661858009540129,0.7650285636270407
iid,kmer_logreg,True,lab,"Skene/Henikoff, Fred Hutch",612.0,0.5130718954248366,0.2104212004673149,0.08715930939719634,0.7331466678066088,0.7607386548712147
iid,kmer_logreg,True,species,Homo sapiens,1200.0,0.5,0.20358887181888108,0.06048506381989082,0.7488388888888888,0.7614032641722405
iid,kmer_logreg,True,tf_family,bhlh_zip,786.0,0.48982188295165396,0.1792701150213511,0.05069375735284602,0.8066845872332157,0.8114863680583346
iid,kmer_logreg,True,tf_family,zinc_finger,414.0,0.5193236714975845,0.24975926515911917,0.13952599038588162,0.6387285263526937,0.6545316778392226
iid,kmer_metadata_logreg,False,assay,CUT&RUN,612.0,0.5130718954248366,0.24250967412764843,0.17414541107948542,0.7401786859316889,0.7653143075852578
iid,kmer_metadata_logreg,False,assay,TF ChIP-seq,588.0,0.48639455782312924,0.2187187602909782,0.14575721276198678,0.7757722410040291,0.76810839073339
iid,kmer_metadata_logreg,False,lab,"Michael Snyder, Stanford",588.0,0.48639455782312924,0.2187187602909782,0.14575721276198678,0.7757722410040291,0.76810839073339
iid,kmer_metadata_logreg,False,lab,"Skene/Henikoff, Fred Hutch",612.0,0.5130718954248366,0.24250967412764843,0.17414541107948542,0.7401786859316889,0.7653143075852578
iid,kmer_metadata_logreg,False,species,Homo sapiens,1200.0,0.5,0.23085212634768004,0.1593468215835686,0.7574444444444445,0.7654048056522349
iid,kmer_metadata_logreg,False,tf_family,bhlh_zip,786.0,0.48982188295165396,0.19759856057706388,0.12922504499039256,0.8116526864656539,0.815247037121009
iid,kmer_metadata_logreg,False,tf_family,zinc_finger,414.0,0.5193236714975845,0.29398570773827004,0.23440351385831557,0.6405282225078883,0.6569887353360311
iid,kmer_metadata_logreg,True,assay,CUT&RUN,612.0,0.5130718954248366,0.20744392290178104,0.0738956462134732,0.7401786859316889,0.7653143075852578
iid,kmer_metadata_logreg,True,assay,TF ChIP-seq,588.0,0.48639455782312924,0.19255453563598632,0.043956632763848334,0.7757722410040291,0.76810839073339
iid,kmer_metadata_logreg,True,lab,"Michael Snyder, Stanford",588.0,0.48639455782312924,0.19255453563598632,0.043956632763848334,0.7757722410040291,0.76810839073339
iid,kmer_metadata_logreg,True,lab,"Skene/Henikoff, Fred Hutch",612.0,0.5130718954248366,0.20744392290178104,0.0738956462134732,0.7401786859316889,0.7653143075852578
iid,kmer_metadata_logreg,True,species,Homo sapiens,1200.0,0.5,0.20014812314154165,0.05107422421806639,0.7574444444444445,0.7654048056522349
iid,kmer_metadata_logreg,True,tf_family,bhlh_zip,786.0,0.48982188295165396,0.1766783074966635,0.04046752357326121,0.8116526864656539,0.815247037121009
iid,kmer_metadata_logreg,True,tf_family,zinc_finger,414.0,0.5193236714975845,0.24470675864123786,0.11337638494197735,0.6405282225078883,0.6569887353360311
assay_heldout_cutrun,gc_artifact_logreg,False,assay,CUT&RUN,3000.0,0.5,0.24814543406041784,0.0959069149063913,0.5535531111111112,0.6194316195279393
assay_heldout_cutrun,gc_artifact_logreg,False,lab,"Skene/Henikoff, Fred Hutch",3000.0,0.5,0.24814543406041784,0.0959069149063913,0.5535531111111112,0.6194316195279393
assay_heldout_cutrun,gc_artifact_logreg,False,species,Homo sapiens,3000.0,0.5,0.24814543406041784,0.0959069149063913,0.5535531111111112,0.6194316195279393
assay_heldout_cutrun,gc_artifact_logreg,False,tf_family,bhlh_zip,2000.0,0.5,0.24556436388886863,0.10266184923478333,0.5714575,0.6417765585987036
assay_heldout_cutrun,gc_artifact_logreg,False,tf_family,zinc_finger,1000.0,0.5,0.25330757440351626,0.09068170993142163,0.5264200000000001,0.5779225847392886
assay_heldout_cutrun,gc_artifact_logreg,True,assay,CUT&RUN,3000.0,0.5,0.25079439773178774,0.11393335810980776,0.5535531111111112,0.6194316195279393
assay_heldout_cutrun,gc_artifact_logreg,True,lab,"Skene/Henikoff, Fred Hutch",3000.0,0.5,0.25079439773178774,0.11393335810980776,0.5535531111111112,0.6194316195279393
assay_heldout_cutrun,gc_artifact_logreg,True,species,Homo sapiens,3000.0,0.5,0.25079439773178774,0.11393335810980776,0.5535531111111112,0.6194316195279393
assay_heldout_cutrun,gc_artifact_logreg,True,tf_family,bhlh_zip,2000.0,0.5,0.2475062027137078,0.12093422510284609,0.5714575,0.6417765585987036
assay_heldout_cutrun,gc_artifact_logreg,True,tf_family,zinc_finger,1000.0,0.5,0.2573707877679475,0.10306639367114175,0.5264200000000001,0.5779225847392886
assay_heldout_cutrun,kmer_logreg,False,assay,CUT&RUN,3000.0,0.5,0.28873178385739084,0.25601811187164136,0.7060286666666666,0.7064628440084628
assay_heldout_cutrun,kmer_logreg,False,lab,"Skene/Henikoff, Fred Hutch",3000.0,0.5,0.28873178385739084,0.25601811187164136,0.7060286666666666,0.7064628440084628
assay_heldout_cutrun,kmer_logreg,False,species,Homo sapiens,3000.0,0.5,0.28873178385739084,0.25601811187164136,0.7060286666666666,0.7064628440084628
assay_heldout_cutrun,kmer_logreg,False,tf_family,bhlh_zip,2000.0,0.5,0.2806079301094276,0.24629423070459036,0.7145895,0.7160847521544359
assay_heldout_cutrun,kmer_logreg,False,tf_family,zinc_finger,1000.0,0.5,0.3049794913533174,0.28078420242606256,0.690428,0.6876520002342685
assay_heldout_cutrun,kmer_logreg,True,assay,CUT&RUN,3000.0,0.5,0.2211138988209465,0.0558264614108926,0.7060286666666666,0.7064628440084628
assay_heldout_cutrun,kmer_logreg,True,lab,"Skene/Henikoff, Fred Hutch",3000.0,0.5,0.2211138988209465,0.0558264614108926,0.7060286666666666,0.7064628440084628
assay_heldout_cutrun,kmer_logreg,True,species,Homo sapiens,3000.0,0.5,0.2211138988209465,0.0558264614108926,0.7060286666666666,0.7064628440084628
assay_heldout_cutrun,kmer_logreg,True,tf_family,bhlh_zip,2000.0,0.5,0.21854410894037207,0.05545241260255107,0.7145895,0.7160847521544359
assay_heldout_cutrun,kmer_logreg,True,tf_family,zinc_finger,1000.0,0.5,0.22625347858209532,0.08116776751847433,0.690428,0.6876520002342685
assay_heldout_cutrun,kmer_metadata_logreg,False,assay,CUT&RUN,3000.0,0.5,0.28248070651335133,0.24379921468077842,0.7133648888888889,0.715154427581991
assay_heldout_cutrun,kmer_metadata_logreg,False,lab,"Skene/Henikoff, Fred Hutch",3000.0,0.5,0.28248070651335133,0.24379921468077842,0.7133648888888889,0.715154427581991
assay_heldout_cutrun,kmer_metadata_logreg,False,species,Homo sapiens,3000.0,0.5,0.28248070651335133,0.24379921468077842,0.7133648888888889,0.715154427581991
assay_heldout_cutrun,kmer_metadata_logreg,False,tf_family,bhlh_zip,2000.0,0.5,0.27504050451634565,0.23753006085751072,0.722237,0.726118007164994
assay_heldout_cutrun,kmer_metadata_logreg,False,tf_family,zinc_finger,1000.0,0.5,0.2973611105073626,0.2635080941774007,0.6942159999999999,0.6940951201593917
assay_heldout_cutrun,kmer_metadata_logreg,True,assay,CUT&RUN,3000.0,0.5,0.21895636905435992,0.054245323576446604,0.7133648888888889,0.715154427581991
assay_heldout_cutrun,kmer_metadata_logreg,True,lab,"Skene/Henikoff, Fred Hutch",3000.0,0.5,0.21895636905435992,0.054245323576446604,0.7133648888888889,0.715154427581991
assay_heldout_cutrun,kmer_metadata_logreg,True,species,Homo sapiens,3000.0,0.5,0.21895636905435992,0.054245323576446604,0.7133648888888889,0.715154427581991
