split,split_type,holdout,model,calibrated,metric,estimate,ci_low,ci_high,n_bootstrap,valid_bootstraps,confidence
iid,iid,,gc_artifact_logreg,False,auprc,0.6721240318740744,0.6468715942424283,0.7082782523149238,100,100,0.95
iid,iid,,gc_artifact_logreg,False,auroc,0.7126828125000001,0.6885615826851068,0.7336767196769376,100,100,0.95
iid,iid,,gc_artifact_logreg,False,ece,0.06030969250054888,0.047542330550929233,0.08778102617088555,100,100,0.95
iid,iid,,gc_artifact_logreg,False,brier,0.21711505906430595,0.21012514327289095,0.22372442338175474,100,100,0.95
iid,iid,,gc_artifact_logreg,True,auprc,0.6721240318740744,0.6415252001772469,0.7058319617287001,100,100,0.95
iid,iid,,gc_artifact_logreg,True,auroc,0.7126828125000001,0.6899501093842013,0.7315525659021115,100,100,0.95
iid,iid,,gc_artifact_logreg,True,ece,0.06637691306379036,0.05371630049539599,0.09850593371738404,100,100,0.95
iid,iid,,gc_artifact_logreg,True,brier,0.21780058429500382,0.21098721625157615,0.2260760796138178,100,100,0.95
iid,iid,,kmer_logreg,False,auprc,0.7541111744456557,0.7246095864440557,0.784818533879014,100,100,0.95
iid,iid,,kmer_logreg,False,auroc,0.778153125,0.7546031827586611,0.8011814409353074,100,100,0.95
iid,iid,,kmer_logreg,False,ece,0.11892038399548172,0.10291488359078213,0.1419690125022,100,100,0.95
iid,iid,,kmer_logreg,False,brier,0.2068399504846477,0.19188110768875416,0.22148222304734844,100,100,0.95
iid,iid,,kmer_logreg,True,auprc,0.7541111744456557,0.7256522520659591,0.7922321487578857,100,100,0.95
iid,iid,,kmer_logreg,True,auroc,0.778153125,0.759219805691599,0.7984472574220853,100,100,0.95
iid,iid,,kmer_logreg,True,ece,0.04016331016807491,0.034982608684969496,0.06776302624465444,100,100,0.95
iid,iid,,kmer_logreg,True,brier,0.19267891264628847,0.18364099306023218,0.20079504200334355,100,100,0.95
iid,iid,,kmer_metadata_logreg,False,auprc,0.7532359340122261,0.7232810839442194,0.7907968153712756,100,100,0.95
iid,iid,,kmer_metadata_logreg,False,auroc,0.777575,0.7601831832955794,0.7997069611849862,100,100,0.95
iid,iid,,kmer_metadata_logreg,False,ece,0.12210495567090347,0.10582413567167863,0.1404274650374054,100,100,0.95
iid,iid,,kmer_metadata_logreg,False,brier,0.2079777973082412,0.1946767489160662,0.2190546436155897,100,100,0.95
iid,iid,,kmer_metadata_logreg,True,auprc,0.7532359340122261,0.7221763807002632,0.7827460952958181,100,100,0.95
iid,iid,,kmer_metadata_logreg,True,auroc,0.777575,0.75858817557279,0.7942327244458137,100,100,0.95
iid,iid,,kmer_metadata_logreg,True,ece,0.03971404122030605,0.03446276679455323,0.0673217523168367,100,100,0.95
iid,iid,,kmer_metadata_logreg,True,brier,0.19264535120939083,0.1852681046613555,0.20087053400381952,100,100,0.95
iid,iid,,tiny_cnn,False,auprc,0.7766854233215879,0.746139796018435,0.8016408101750706,100,100,0.95
iid,iid,,tiny_cnn,False,auroc,0.8087890624999999,0.7847661768725375,0.8256907631002839,100,100,0.95
iid,iid,,tiny_cnn,False,ece,0.04363996649219189,0.04102512813612703,0.07187101943236485,100,100,0.95
iid,iid,,tiny_cnn,False,brier,0.1778086431382238,0.16885262635855597,0.18963301479932992,100,100,0.95
iid,iid,,tiny_cnn,True,auprc,0.7766854233215879,0.7415692904308198,0.8059060209883985,100,100,0.95
iid,iid,,tiny_cnn,True,auroc,0.8087890624999999,0.7828596746730306,0.8262027478144695,100,100,0.95
iid,iid,,tiny_cnn,True,ece,0.050060222641812584,0.04363481844277063,0.07977687611663248,100,100,0.95
iid,iid,,tiny_cnn,True,brier,0.17803103447585264,0.16943729579830472,0.19073911251923517,100,100,0.95
iid,iid,,axis_guard_cnn,False,auprc,0.7965816688927234,0.7649805143267233,0.8238649342908289,100,100,0.95
iid,iid,,axis_guard_cnn,False,auroc,0.825559375,0.8051310165671837,0.8422976045950108,100,100,0.95
iid,iid,,axis_guard_cnn,False,ece,0.08016917336366533,0.06875695183967788,0.10259673777379974,100,100,0.95
iid,iid,,axis_guard_cnn,False,brier,0.1747489595154673,0.16345540468954098,0.18776101213525914,100,100,0.95
iid,iid,,axis_guard_cnn,True,auprc,0.7965816688927234,0.769980621747763,0.8230962872112839,100,100,0.95
iid,iid,,axis_guard_cnn,True,auroc,0.825559375,0.8094352041170736,0.84742393266124,100,100,0.95
iid,iid,,axis_guard_cnn,True,ece,0.028789844231004443,0.02642379247581596,0.055765939019432414,100,100,0.95
