split,model,calibrated,group_col,group,n,prevalence,brier,ece,auroc,auprc
iid,gc_artifact_logreg,False,assay,TF ChIP-seq,1600.0,0.5,0.21711505906430595,0.06030969250054888,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,False,lab,"Michael Snyder, Stanford",1180.0,0.5067796610169492,0.21197608567446782,0.05190734903936199,0.7274506085577354,0.6962768257975211
iid,gc_artifact_logreg,False,lab,"Richard Myers, HAIB",420.0,0.48095238095238096,0.2315531271595655,0.11224064418175725,0.6694976837133254,0.5849785645002478
iid,gc_artifact_logreg,False,species,Homo sapiens,1600.0,0.5,0.21711505906430595,0.06030969250054888,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,False,tf,CTCF,212.0,0.5141509433962265,0.2306472338252065,0.12233309859256478,0.6890977108755678,0.6365368703411551
iid,gc_artifact_logreg,False,tf,GATA1,188.0,0.48404255319148937,0.2557483881632913,0.17181548845026343,0.5992409652203466,0.5126204670942633
iid,gc_artifact_logreg,False,tf,GATA2,214.0,0.5233644859813084,0.23265124150538882,0.17587410813413548,0.6856179971988795,0.6304540185966416
iid,gc_artifact_logreg,False,tf,JUND,200.0,0.535,0.2200375420605746,0.10143304603000707,0.7042005828559944,0.6944294851038587
iid,gc_artifact_logreg,False,tf,MAX,213.0,0.49295774647887325,0.1969955160123995,0.0867203699524192,0.7870811287477953,0.7383598138399703
iid,gc_artifact_logreg,False,tf,MYC,182.0,0.4945054945054945,0.19580870372755776,0.09324668598541659,0.7823671497584542,0.7395046575038767
iid,gc_artifact_logreg,False,tf,REST,185.0,0.518918918918919,0.17053585485977268,0.14855959729724216,0.8666315543071161,0.8508483099422369
iid,gc_artifact_logreg,False,tf,SPI1,206.0,0.4368932038834951,0.2304123675964286,0.07330806926797742,0.6644636015325671,0.5506062737690628
iid,gc_artifact_logreg,False,tf_family,bhlh_zip,395.0,0.4936708860759494,0.19644868098495344,0.07798466158858053,0.7837051282051282,0.7359479299809122
iid,gc_artifact_logreg,False,tf_family,bzip,200.0,0.535,0.2200375420605746,0.10143304603000707,0.7042005828559944,0.6944294851038587
iid,gc_artifact_logreg,False,tf_family,ets,206.0,0.4368932038834951,0.2304123675964286,0.07330806926797742,0.6644636015325671,0.5506062737690628
iid,gc_artifact_logreg,False,tf_family,gata,402.0,0.5049751243781094,0.24345289218122385,0.1697939075591294,0.6448498650889918,0.567038065765189
iid,gc_artifact_logreg,False,tf_family,zinc_finger,397.0,0.5163727959697733,0.20263563405541993,0.07449429146500913,0.754369918699187,0.7453704627889571
iid,gc_artifact_logreg,False,negative_strategy,gc_accessibility,1600.0,0.5,0.21711505906430595,0.06030969250054888,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,True,assay,TF ChIP-seq,1600.0,0.5,0.21780058429500382,0.06637691306379036,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,True,lab,"Michael Snyder, Stanford",1180.0,0.5067796610169492,0.21180566232175785,0.05181116394587227,0.7274506085577354,0.6962768257975211
iid,gc_artifact_logreg,True,lab,"Richard Myers, HAIB",420.0,0.48095238095238096,0.23464346031507585,0.1142496602033024,0.6694976837133254,0.5849785645002478
iid,gc_artifact_logreg,True,species,Homo sapiens,1600.0,0.5,0.21780058429500382,0.06637691306379036,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,True,tf,CTCF,212.0,0.5141509433962265,0.2337435172972937,0.11319934597005166,0.6890977108755678,0.6365368703411551
iid,gc_artifact_logreg,True,tf,GATA1,188.0,0.48404255319148937,0.26441504607577254,0.1827834858985293,0.5992409652203466,0.5126204670942633
iid,gc_artifact_logreg,True,tf,GATA2,214.0,0.5233644859813084,0.2360201621446997,0.17133272839536828,0.6856179971988795,0.6304540185966416
iid,gc_artifact_logreg,True,tf,JUND,200.0,0.535,0.2206587365028537,0.11268234798112446,0.7042005828559944,0.6944294851038587
