split_name,split,assay,tf,label,n
iid,test,TF ChIP-seq,CTCF,0,103
iid,test,TF ChIP-seq,CTCF,1,109
iid,test,TF ChIP-seq,GATA1,0,97
iid,test,TF ChIP-seq,GATA1,1,91
iid,test,TF ChIP-seq,GATA2,0,102
iid,test,TF ChIP-seq,GATA2,1,112
iid,test,TF ChIP-seq,JUND,0,93
iid,test,TF ChIP-seq,JUND,1,107
iid,test,TF ChIP-seq,MAX,0,108
iid,test,TF ChIP-seq,MAX,1,105
iid,test,TF ChIP-seq,MYC,0,92
iid,test,TF ChIP-seq,MYC,1,90
iid,test,TF ChIP-seq,REST,0,89
iid,test,TF ChIP-seq,REST,1,96
iid,test,TF ChIP-seq,SPI1,0,116
iid,test,TF ChIP-seq,SPI1,1,90
iid,train,TF ChIP-seq,CTCF,0,322
iid,train,TF ChIP-seq,CTCF,1,307
iid,train,TF ChIP-seq,GATA1,0,328
iid,train,TF ChIP-seq,GATA1,1,338
iid,train,TF ChIP-seq,GATA2,0,314
iid,train,TF ChIP-seq,GATA2,1,320
iid,train,TF ChIP-seq,JUND,0,334
iid,train,TF ChIP-seq,JUND,1,302
iid,train,TF ChIP-seq,MAX,0,303
iid,train,TF ChIP-seq,MAX,1,322
iid,train,TF ChIP-seq,MYC,0,319
iid,train,TF ChIP-seq,MYC,1,320
iid,train,TF ChIP-seq,REST,0,340
iid,train,TF ChIP-seq,REST,1,314
iid,train,TF ChIP-seq,SPI1,0,300
iid,train,TF ChIP-seq,SPI1,1,337
iid,valid,TF ChIP-seq,CTCF,0,75
iid,valid,TF ChIP-seq,CTCF,1,84
iid,valid,TF ChIP-seq,GATA1,0,75
iid,valid,TF ChIP-seq,GATA1,1,71
iid,valid,TF ChIP-seq,GATA2,0,84
iid,valid,TF ChIP-seq,GATA2,1,68
iid,valid,TF ChIP-seq,JUND,0,73
iid,valid,TF ChIP-seq,JUND,1,91
iid,valid,TF ChIP-seq,MAX,0,89
iid,valid,TF ChIP-seq,MAX,1,73
iid,valid,TF ChIP-seq,MYC,0,89
iid,valid,TF ChIP-seq,MYC,1,90
iid,valid,TF ChIP-seq,REST,0,71
iid,valid,TF ChIP-seq,REST,1,90
iid,valid,TF ChIP-seq,SPI1,0,84
iid,valid,TF ChIP-seq,SPI1,1,73
lab_heldout_richard_myers__haib,test,TF ChIP-seq,GATA2,0,500
lab_heldout_richard_myers__haib,test,TF ChIP-seq,GATA2,1,500
lab_heldout_richard_myers__haib,test,TF ChIP-seq,SPI1,0,500
lab_heldout_richard_myers__haib,test,TF ChIP-seq,SPI1,1,500
lab_heldout_richard_myers__haib,train,TF ChIP-seq,CTCF,0,412
lab_heldout_richard_myers__haib,train,TF ChIP-seq,CTCF,1,397
lab_heldout_richard_myers__haib,train,TF ChIP-seq,GATA1,0,398
lab_heldout_richard_myers__haib,train,TF ChIP-seq,GATA1,1,414
lab_heldout_richard_myers__haib,train,TF ChIP-seq,JUND,0,412
lab_heldout_richard_myers__haib,train,TF ChIP-seq,JUND,1,401
lab_heldout_richard_myers__haib,train,TF ChIP-seq,MAX,0,396
lab_heldout_richard_myers__haib,train,TF ChIP-seq,MAX,1,406
lab_heldout_richard_myers__haib,train,TF ChIP-seq,MYC,0,393
lab_heldout_richard_myers__haib,train,TF ChIP-seq,MYC,1,399
lab_heldout_richard_myers__haib,train,TF ChIP-seq,REST,0,389
lab_heldout_richard_myers__haib,train,TF ChIP-seq,REST,1,383
lab_heldout_richard_myers__haib,valid,TF ChIP-seq,CTCF,0,88
lab_heldout_richard_myers__haib,valid,TF ChIP-seq,CTCF,1,103
lab_heldout_richard_myers__haib,valid,TF ChIP-seq,GATA1,0,102
lab_heldout_richard_myers__haib,valid,TF ChIP-seq,GATA1,1,86
lab_heldout_richard_myers__haib,valid,TF ChIP-seq,JUND,0,88
lab_heldout_richard_myers__haib,valid,TF ChIP-seq,JUND,1,99
